,L,R,F,M,C,0
1235,0.666666667,0.021917808,0.156398104,0.082917348,0.491200785,1
2181,0.049019608,0.231506849,0.009478673,0.007264594,0.566029585,0
1695,0.343137255,0.169863014,0.052132701,0.033795182,0.512400357,1
4791,0.5,0.01369863,0.042654028,0.016272967,0.506106265,0
2138,0.568627451,0.075342466,0.018957346,0.021705905,0.383241784,0
3822,0.245098039,0.101369863,0.109004739,0.061244182,0.299017717,1
1635,0.009803922,0.131506849,0,0.006621878,0.360729465,2
2316,0.509803922,0.939726027,0,0.005436384,0.327036631,2
4789,0.676470588,0.050684932,0.028436019,0.028095163,0.354855927,0
2400,0.852941176,0.189041096,0.004739336,0.006053254,0.353043806,2
1265,0.794117647,0.4,0.018957346,0.019701938,0.310842058,0
899,0.323529412,0.220547945,0.047393365,0.019365933,0.341239193,0
1292,0.441176471,0.004109589,0.009478673,0.008531074,0.289494104,2
560,0.754901961,0.028767123,0.09478673,0.074524123,0.502402489,1
4112,0.166666667,0.309589041,0.004739336,0.004540371,0.435535598,2
113,0.588235294,0.982191781,0,0.001988459,0.285181922,2
2307,0.117647059,0.735616438,0,0.00348411,0.32183926,2
1771,0.078431373,0.216438356,0.014218009,0.005165857,0.59807179,2
737,0.009803922,0.016438356,0.018957346,0.017108671,0.401555885,0
1504,0.117647059,0.764383562,0,0.00675111,0.56780948,2
619,0.264705882,0.006849315,0.170616114,0.06170942,0.455074866,1
2960,0.009803922,0.160273973,0.004739336,0.002479542,0.847276647,2
2021,0.019607843,0.568493151,0,0,0.45013994,2
2849,0.137254902,0.001369863,0.028436019,0.017248242,0.511640059,0
2287,0.362745098,0.201369863,0.061611374,0.031205361,0.367534958,1
1349,0.039215686,0.654794521,0.009478673,0.032523533,0.700689212,1
3267,0.862745098,0.017808219,0.023696682,0.016877775,0.40153353,0
1724,0.31372549,0.590410959,0,0.004104427,0.083566567,2
3213,0.392156863,0.016438356,0.142180095,0.10328268,0.864120342,1
185,0.18627451,0,0.023696682,0.026604681,0.327265046,0
3055,0.303921569,0.591780822,0.018957346,0.015990378,0.571996711,0
1339,0.960784314,0.006849315,0.09478673,0.048982595,0.352901181,1
4585,0.098039216,0.082191781,0,0.003049889,0.572131032,2
1083,0.117647059,0.21369863,0.004739336,0.006794188,0.403702211,2
1328,0.823529412,0.009589041,0.208530806,0.107209627,0.426565313,1
2102,1,0.001369863,0.014218009,0.010274852,0.327413421,2
3915,0.294117647,0.761643836,0.047393365,0.022856936,0.401086921,0
2664,0.529411765,0.454794521,0.004739336,0.010572948,0.426056791,0
2955,0.431372549,0.81369863,0.009478673,0.004611019,0.413482603,2
867,0.117647059,0.37260274,0.009478673,0.016664111,0.292834356,0
364,0.558823529,0.297260274,0.018957346,0.010948584,0.392967146,0
4021,0.18627451,0.001369863,0.071090047,0.028288151,0.402153662,1
2767,0.990196078,0.001369863,0.066350711,0.04400111,0.557949362,1
1479,0.470588235,0.494520548,0.004739336,0.004940131,0.214785103,2
1378,0.029411765,0,0.056872038,0.026297969,0.715937767,1
3477,0.205882353,0.050684932,0.033175355,0.01614718,0.403769293,0
2090,0.352941176,0.04109589,0.123222749,0.063470429,0.957430075,1
4909,0.078431373,0.845205479,0,0.041519844,0.413482603,1
2841,0.009803922,0.116438356,0.033175355,0.016977715,0.376836025,0
1945,0.352941176,0.978082192,0,0.004624803,0.376825266,2
2562,0.098039216,0.067123288,0.014218009,0.012258141,0.404937063,0
755,0.441176471,0.276712329,0.009478673,0.015626804,0.414980438,0
1693,0.715686275,0.668493151,0.023696682,0.007193947,0.544401665,2
1962,0.137254902,0.263013699,0.014218009,0.014670483,0.25960598,0
569,0.901960784,0.104109589,0.042654028,0.021828245,0.453602647,0
272,0.352941176,0.004109589,0,0.004783329,0.572335728,2
2871,0.696078431,0.220547945,0.033175355,0.021366454,0.288462363,0
238,0,0.378082192,0.004739336,0.005605248,0.207818844,2
2372,0.617647059,0.179452055,0,0.004933238,0.508508042,2
1503,0.176470588,0.017808219,0.042654028,0.024175108,0.295031386,0
1004,0.156862745,0.016438356,0.075829384,0.033011171,0.376295475,1
215,0.31372549,0.120547945,0.042654028,0.016614141,0.464802875,0
1976,0.754901961,0.67260274,0.023696682,0.008282947,0.443417658,2
2597,0.68627451,0.536986301,0.009478673,0.008367379,0.500298181,0
4811,0,0.22739726,0.009478673,0.003923501,0.48884011,2
4796,0.098039216,0.023287671,0.028436019,0.010507471,0.403788194,0
1814,0,0.212328767,0.009478673,0.004981485,0.485708468,2
1498,0.294117647,0.02739726,0.009478673,0.016379799,0.552193165,0
2335,0.049019608,0.01369863,0.137440758,0.051787804,0.519688993,1
3409,0.68627451,0.165753425,0.023696682,0.024306064,0.879218202,1
2039,0.166666667,0.182191781,0.028436019,0.016996669,0.286714565,0
1485,0.058823529,0.028767123,0.052132701,0.066603027,0.528665046,1
3702,0.87254902,0.14109589,0.033175355,0.011906629,0.492039508,0
4966,0.382352941,0.001369863,0.104265403,0.04436813,0.507007447,1
3365,0.029411765,0.116438356,0.009478673,0.006582246,0.100062369,2
3066,0.676470588,0.797260274,0.009478673,0.010983046,0.515869775,0
1000,0.558823529,0.108219178,0.109004739,0.052666585,0.38529652,1
2572,0.098039216,0.389041096,0.071090047,0.030236978,0.52490323,1
3956,0.529411765,0.153424658,0.037914692,0.023124017,0.31858402,0
2345,0.87254902,0.08630137,0,0.002245201,0.237913481,2
960,0.87254902,0.026027397,0.009478673,0.00586199,0.555170504,2
2450,0.078431373,0.505479452,0.014218009,0.013634899,0.580412707,0
1823,0.754901961,0.01369863,0.037914692,0.024764409,0.421551694,0
328,0.235294118,0.368493151,0.047393365,0.023754672,0.601353399,1
3787,0.078431373,0.316438356,0,0.011541331,0.541883928,0
3888,0.68627451,0.239726027,0.056872038,0.033373022,0.323488989,1
3176,0.647058824,0.017808219,0.161137441,0.071705129,0.346238366,1
1412,0.274509804,0.290410959,0.004739336,0.004309476,0.422904395,2
1220,0.117647059,0.17260274,0.014218009,0.016221274,0.202483688,2
4043,0.431372549,0.001369863,0.085308057,0.056833044,0.443982571,1
4199,0.029411765,0.097260274,0.056872038,0.027957315,0.381430132,0
4544,0.490196078,0.167123288,0.052132701,0.020099974,0.451171451,0
2492,0.794117647,0.024657534,0.260663507,0.091791319,0.375178388,1
3870,0.803921569,0.297260274,0.042654028,0.025801716,0.478256323,1
4228,0.303921569,0.426027397,0.018957346,0.007991743,0.432660703,2
263,0.029411765,0.289041096,0.009478673,0.006044639,0.379288003,2
182,0.117647059,0.154794521,0.052132701,0.035650962,0.33739417,1
2481,0.862745098,0.023287671,0.037914692,0.032787168,0.351842485,1
1236,0.274509804,0.034246575,0.023696682,0.020435979,0.370661149,0
3385,0.87254902,0.016438356,0.218009479,0.082483127,0.541608421,1
1262,0.901960784,0.497260274,0.052132701,0.031213976,0.477370652,1
1481,0.774509804,0,0.151658768,0.120820403,0.958442501,1
4276,0.117647059,0.052054795,0.056872038,0.034108786,0.409279272,1
3349,0.019607843,0.242465753,0.014218009,0.013393665,0.442903032,0
1800,0.117647059,0.190410959,0,0.003292846,0.568463198,2
3330,0.009803922,0.287671233,0,0.001602484,0.56744342,2
2530,0.303921569,0.379452055,0.009478673,0.016083426,0.414589653,0
546,0.058823529,0.604109589,0.009478673,0.005768942,0.505125946,2
3121,0.352941176,0.193150685,0.018957346,0.013543575,0.408130132,0
2194,0.235294118,0.064383562,0.037914692,0.024078615,0.44958939,0
4888,0.598039216,0.038356164,0.052132701,0.024959119,0.274061321,0
2776,0.539215686,0.005479452,0.151658768,0.113626456,0.4771575,1
682,0,0.006849315,0.009478673,0.010908953,0.370083686,0
3084,0.019607843,0.005479452,0.023696682,0.009709675,0.539288777,0
2965,0.225490196,0.038356164,0.056872038,0.033169696,0.528137964,1
3080,0.274509804,0.208219178,0.018957346,0.010609133,0.525252369,0
3220,0.294117647,0.109589041,0.061611374,0.021766213,0.286004174,0
2358,0.303921569,0.305479452,0.033175355,0.014506788,0.305504696,0
4048,0.323529412,0.373972603,0.018957346,0.003635743,0.470912431,2
3290,0.294117647,0.04109589,0.241706161,0.126504913,0.429530751,1
3454,0.049019608,0.060273973,0.009478673,0.006799357,0.102043089,2
999,0.088235294,0.542465753,0.004739336,0.004157843,0.296036765,2
3238,0.598039216,0.319178082,0.004739336,0.006895851,0.420941574,2
3113,0.637254902,0.189041096,0.004739336,0.010088757,0.26640321,2
271,0.950980392,0.002739726,0.090047393,0.077341393,0.339643986,1
3061,0.137254902,0.291780822,0.028436019,0.013466035,0.598284322,0
1681,0.18627451,0.043835616,0.227488152,0.060308538,0.459906662,1
406,0.549019608,0.131506849,0.009478673,0.009344377,0.400651585,2
1940,0.303921569,0.383561644,0.009478673,0.010821075,0.307849037,2
2512,0.882352941,0.156164384,0.023696682,0.020479057,0.489918821,0
4523,0.058823529,0.739726027,0,0.009604566,0.193538579,2
2395,0.058823529,0.524657534,0.047393365,0.011817027,0.604054086,0
1066,0.490196078,0.136986301,0.023696682,0.022612256,0.302904119,0
3406,0.068627451,0.284931507,0.014218009,0.008920494,0.568957311,0
2068,0.784313725,0.031506849,0.170616114,0.081771486,0.338521629,1
1050,0.12745098,0.034246575,0.052132701,0.031098529,0.710114032,1
2813,0.058823529,0.361643836,0.014218009,0.037334432,0.441072344,1
869,0.892156863,0.473972603,0.014218009,0.008525904,0.33013474,2
4142,0.539215686,0.005479452,0.303317536,0.196629959,0.430311895,1
866,0.117647059,0.380821918,0.023696682,0.013886472,0.447231539,0
2145,0.205882353,0.049315068,0.037914692,0.016751989,0.375317555,0
3401,0.647058824,0.019178082,0.037914692,0.025896486,0.430436354,1
4264,0.480392157,0.01369863,0.127962085,0.036791655,0.541634764,1
2421,0.519607843,0.67260274,0.014218009,0.011660225,0.475931087,0
1537,0.696078431,0.649315068,0.004739336,0.010996831,0.437920827,0
3953,0.892156863,0.367123288,0.028436019,0.029468475,0.313945027,0
2147,0.107843137,0.179452055,0.033175355,0.014417187,0.388215688,0
1530,0.68627451,0.375342466,0.004739336,0.005083148,0.298404195,2
2943,0.343137255,0.046575342,0.037914692,0.016116165,0.461311736,0
3062,0.107843137,0.819178082,0,0.00136125,0.633426627,2
33,0.264705882,0.202739726,0.028436019,0.017100055,0.250820476,0
1761,0.166666667,0.353424658,0,0.003782207,0.256913008,2
15,0.235294118,0.121917808,0.071090047,0.040670355,0.28812555,1
3632,0.049019608,0.368493151,0.004739336,0.00972346,0.402426248,0
774,0.705882353,0.232876712,0.028436019,0.027802236,0.660809345,1
4521,0.166666667,0.030136986,0.052132701,0.033212774,0.280150893,0
439,0.352941176,0.024657534,0.042654028,0.027583402,0.376647082,0
2327,0.823529412,0.049315068,0.132701422,0.100615319,0.346814161,1
445,0.098039216,0.098630137,0,0.001940212,0.354830863,2
4074,0.803921569,0.269863014,0.014218009,0.015837022,0.276681209,0
1112,0.588235294,0.549315068,0,0.006144579,0.193538579,2
3940,0.774509804,0.947945205,0,0.006430613,0.083566567,2
4347,0.549019608,0,0.3507109,0.127049413,0.538195414,1
4691,0.264705882,0.539726027,0,0.001226848,0.539237635,2
1163,0.039215686,0.102739726,0.033175355,0.011653333,0.503853657,0
843,0.411764706,0.016438356,0.194312796,0.065763877,0.458565211,1
2383,0.411764706,0.019178082,0.274881517,0.140053657,0.433145335,1
3120,0.62745098,0.273972603,0.004739336,0.006127348,0.428145538,2
2744,0.647058824,0.22739726,0,0.00474542,0.482556205,2
3783,0.009803922,0.52739726,0,0.006027408,0.266853254,2
1433,0.607843137,0.001369863,0.014218009,0.104750762,0.442808473,1
3202,0.196078431,0.249315068,0,0.003277338,0.283027698,2
1171,0.529411765,0.334246575,0.004739336,0.007414504,0.317511167,2
4687,0.284313725,0.226027397,0.028436019,0.01704147,0.321145279,0
2071,0.245098039,0.010958904,0.170616114,0.05406402,0.490929312,1
2449,0.343137255,0.204109589,0.028436019,0.023132632,0.433477901,0
336,0.254901961,0.483561644,0.014218009,0.004063072,0.560784317,2
522,0.176470588,0.020547945,0.071090047,0.043049958,0.369829833,1
4745,0.37254902,0.049315068,0.066350711,0.064338872,0.504673405,1
2835,0.009803922,0.231506849,0.023696682,0.02398729,0.473394992,1
655,0.18627451,0.345205479,0,0.003241153,0.443114902,2
4836,0,0.147945205,0.014218009,0.016755435,0.960888669,1
4350,0.68627451,0.104109589,0.075829384,0.054427594,0.293561316,1
521,0,0.067123288,0.047393365,0.027264629,0.275330786,0
4989,0.049019608,0.71369863,0.009478673,0.013074891,0.43632663,0
596,0.980392157,0.573972603,0.018957346,0.019996588,0.343446973,0
1470,0.735294118,0.101369863,0.104265403,0.055163359,0.432667764,1
4320,0.019607843,0.001369863,0.113744076,0.083256799,0.358196176,1
2051,0.284313725,0.112328767,0.018957346,0.013707269,0.433611326,0
3594,0.509803922,0.095890411,0.066350711,0.042794939,0.428035001,1
4567,0.656862745,0.880821918,0,0.001597315,0.633426627,2
1587,0.245098039,0.11369863,0.033175355,0.044798905,0.352569166,1
4533,0.333333333,0.768493151,0.009478673,0.006919974,0.285181922,2
4448,0.254901961,0.145205479,0.047393365,0.02767645,0.355473427,0
277,0.235294118,0.11369863,0.08056872,0.040241303,0.447465973,1
3977,0.549019608,0.232876712,0.037914692,0.029523614,0.428661195,1
1638,0.411764706,0.405479452,0,0.001602484,0.358496597,2
645,0.264705882,0.826027397,0.004739336,0.011177757,0.242415029,2
3566,0.333333333,0.016438356,0.260663507,0.121823248,0.522608382,1
2742,0.431372549,0.720547945,0,0.005081425,0.481360012,2
4363,0.274509804,0.350684932,0.023696682,0.018190778,0.499537589,0
4646,0.019607843,0.132876712,0.018957346,0.019631291,0.238805918,0
2507,0.078431373,0.052054795,0.071090047,0.041929942,0.413128228,1
2858,0.009803922,0.019178082,0,0.006430613,0.149549774,2
1282,0.196078431,0.428767123,0.037914692,0.027383523,0.360365535,0
1507,0.31372549,0.02739726,0.023696682,0.013524621,0.46650793,0
3929,0,0.234246575,0.018957346,0.012814703,0.230546286,2
2915,0.147058824,0.321917808,0.004739336,0.014866916,0.412451666,0
3509,0.833333333,0.18630137,0.037914692,0.042386564,0.424583608,1
2222,0.411764706,0.543835616,0,0.005830974,0.230195916,2
393,0.137254902,0.017808219,0.047393365,0.075737186,0.578460801,1
3491,0.019607843,0.169863014,0,0.006199718,0.464802875,2
1338,0,0.52739726,0,0.002812101,0.351165129,2
3837,0.303921569,0.265753425,0.018957346,0.008891202,0.216896359,2
858,0.68627451,0,0.312796209,0.232628987,0.889569927,1
4189,0.362745098,0.217808219,0.042654028,0.029435736,0.346114689,0
854,0.980392157,0.17260274,0.028436019,0.018101177,0.519813492,0
2661,0.107843137,0.945205479,0,0.005293367,0.578440621,2
3634,0.019607843,0.119178082,0.009478673,0.00702336,0.561944819,2
994,0.117647059,0.908219178,0,0.005686234,0.550397958,2
3608,0.107843137,0.032876712,0.033175355,0.014923779,0.450895092,0
3993,0.147058824,0.034246575,0.023696682,0.014966856,0.645040047,0
2135,0.62745098,0.68630137,0.018957346,0.007047483,0.596423931,0
2258,0.294117647,0.367123288,0.014218009,0.009850969,0.408096956,0
421,0.205882353,0.216438356,0.042654028,0.017280981,0.404113245,0
3589,0.215686275,0.04109589,0.037914692,0.032320207,0.379510979,1
3622,0.558823529,0.175342466,0.104265403,0.0531525,0.365029154,1
1366,0.833333333,0.391780822,0.009478673,0.010690119,0.437911159,0
3287,0.509803922,0.009589041,0.066350711,0.041490551,0.459397016,1
4406,0.205882353,0.183561644,0.028436019,0.046347973,0.645658825,1
4998,0.147058824,0.05890411,0.009478673,0.008834339,0.366398438,2
133,0.068627451,0.810958904,0,0.001910919,0.38548702,2
1886,0.343137255,0.15890411,0.014218009,0.006820034,0.466992486,2
779,0.068627451,0.026027397,0.023696682,0.010571225,0.453281997,0
4885,0.147058824,0.379452055,0.028436019,0.015676774,0.3528156,0
1416,0.31372549,0.84109589,0.004739336,0.007752232,0.426015541,2
3697,0.87254902,0.506849315,0,0.003873531,0.486797277,2
2302,0.656862745,0.260273973,0.023696682,0.021132112,0.649912562,1
2581,0.078431373,0.039726027,0.099526066,0.038096042,0.471247795,1
3033,0.254901961,0.669863014,0.018957346,0.032308146,0.440907538,1
240,0.029411765,0.090410959,0.033175355,0.025429526,0.459967092,1
2803,0.382352941,0.321917808,0.028436019,0.008775754,0.405726901,2
2298,0.62745098,0.765753425,0,0.003975194,0.227167404,2
3559,0.009803922,0.12739726,0,0.003477218,0.48790345,2
4279,0.970588235,0.606849315,0.047393365,0.024890195,0.365864937,0
3429,0.215686275,0.128767123,0.004739336,0.012377035,0.419731487,0
4870,0.274509804,0.315068493,0.004739336,0.062596817,0.425701716,1
4897,0.558823529,0.289041096,0.037914692,0.021495686,0.333148717,0
2098,0.078431373,0.504109589,0.047393365,0.031970418,0.486743033,1
2961,0.343137255,0.021917808,0.004739336,0.010102542,0.494128745,0
1167,0.705882353,0.091780822,0.018957346,0.013128307,0.509510415,0
3182,0.019607843,0.026027397,0.014218009,0.004647204,0.34774338,2
1442,0.18627451,0.016438356,0.018957346,0.01184632,0.439982371,0
1525,0.764705882,0.190410959,0,0.002202123,0.391479292,2
2522,0.058823529,0.445205479,0.014218009,0.008765415,0.31062702,2
1130,0.696078431,0.205479452,0.009478673,0.015352831,0.307265617,0
495,0.068627451,0.063013699,0.014218009,0.011658502,0.328373247,0
4206,0.196078431,0.210958904,0.052132701,0.032954309,0.339543965,1
3769,0.392156863,0.036986301,0.227488152,0.09314223,0.373981481,1
3639,0.343137255,0.08630137,0.132701422,0.065074636,0.330537855,1
199,0.098039216,0.905479452,0.004739336,0.005863713,0.521150772,2
2143,0.568627451,0.320547945,0.033175355,0.013024921,0.512641001,0
1484,0.235294118,0.135616438,0,0.041519844,0.259521786,1
2525,0.245098039,0.236986301,0.023696682,0.02641514,0.777069774,1
4861,0.068627451,0.030136986,0.004739336,0.004988378,0.441458117,2
3423,0.009803922,0.008219178,0.018957346,0.011730872,0.478093714,0
3850,0.176470588,0.034246575,0.014218009,0.012439067,0.234988862,2
4701,0.294117647,0.883561644,0.009478673,0.004499017,0.606994951,2
723,0.196078431,0.669863014,0.004739336,0.008772308,0.392316835,2
2987,0.578431373,0.020547945,0.023696682,0.012116847,0.481152048,0
4271,0.088235294,0.638356164,0,0.007569583,0.266853254,2
431,0.333333333,0.032876712,0.203791469,0.137427651,0.397905111,1
820,0.009803922,0.384931507,0,0.006797634,0.230195916,2
4760,0.18627451,0.619178082,0.018957346,0.006075654,0.389044378,2
3187,0.5,0.605479452,0,0.005474292,0.304058642,2
3980,0.460784314,0.620547945,0.042654028,0.010814183,0.493462248,0
2714,0.18627451,0.106849315,0.047393365,0.044442224,0.187148768,0
2511,0.009803922,0.036986301,0.132701422,0.059905333,0.452484365,1
3239,0.31372549,0.27260274,0.009478673,0.006099778,0.514142076,2
674,0.529411765,0.752054795,0.009478673,0.008498335,0.563086038,0
50,0.803921569,0.057534247,0.004739336,0.0082123,0.483679905,0
4671,0.294117647,0.546575342,0,0.004928069,0.303510591,2
1692,0.137254902,0.464383562,0.018957346,0.012630331,0.379082421,0
3547,0,0.320547945,0.009478673,0.006375474,0.591593288,2
3016,0.31372549,0.316438356,0.004739336,0.00640649,0.328180279,2
2924,0.107843137,0.026027397,0.056872038,0.024869518,0.40564193,0
79,0.960784314,0.208219178,0,0.003254938,0.485205599,2
4530,0.117647059,0.961643836,0.014218009,0.013991581,0.375732628,0
4321,0.509803922,0.004109589,0,0.004524863,0.934016793,0
1069,0.107843137,0.060273973,0.028436019,0.020628966,0.438669818,0
1388,0.12745098,0.11369863,0.004739336,0.002700099,0.482807596,2
3018,0.382352941,0.049315068,0.004739336,0.027755713,0.413824347,1
4010,0.029411765,0.201369863,0.014218009,0.007855618,0.503711584,0
3388,0.715686275,0.195890411,0.090047393,0.052850957,0.283722478,1
191,0.843137255,0.082191781,0.146919431,0.035907704,0.58903749,1
4950,0.009803922,0.004109589,0.018957346,0.009995709,0.307315966,2
594,0.676470588,0.091780822,0.047393365,0.024616222,0.432138471,0
883,0.264705882,0.690410959,0.009478673,0.007662631,0.467848136,2
3135,0.156862745,0.017808219,0.037914692,0.011889398,0.370112151,0
4931,0.245098039,0.393150685,0,0.002924103,0.237825613,2
2251,0.235294118,0.723287671,0,0.003379001,0.48311423,2
3930,0.205882353,0.702739726,0,0.002879302,0.660573552,2
1099,0.764705882,0.371232877,0,0.005124503,0.210254851,2
295,0.421568627,0.320547945,0.009478673,0.003384171,0.560111952,2
2632,0.264705882,0.057534247,0.009478673,0.006633939,0.408236901,2
2862,0.862745098,0.082191781,0,0.002091845,0.551088964,2
2654,0.156862745,0.357534247,0.028436019,0.016186812,0.460604667,0
4099,0.294117647,0.021917808,0.317535545,0.170969537,0.530308826,1
1779,0.470588235,0.082191781,0.009478673,0.013374711,0.593696025,0
2006,0.676470588,0.531506849,0.028436019,0.028224396,0.473189762,1
3503,0.18627451,0.045205479,0.056872038,0.024354311,0.325017644,0
243,0.049019608,0.173972603,0,0.004337045,0.336048583,2
2319,0.009803922,0.54109589,0,0.004011379,0.486797277,2
1495,0.039215686,0.039726027,0.023696682,0.006353074,0.613545785,2
2879,0.058823529,0.045205479,0.028436019,0.014649806,0.404620371,0
8,0.196078431,0.05890411,0.047393365,0.027219828,0.426457464,1
747,0.519607843,0.173972603,0,0.008705107,0.519788881,0
4835,0.745098039,0.038356164,0.118483412,0.072894069,0.278556422,1
1255,0.029411765,0.017808219,0.056872038,0.028851605,0.480790976,1
1995,0.725490196,0.032876712,0.308056872,0.184492435,0.423125873,1
3153,0.049019608,0.710958904,0.004739336,0.008891202,0.302873994,2
3856,0.284313725,0.534246575,0,0.00388387,0.156881242,2
2169,0.137254902,0.346575342,0.014218009,0.015147782,0.492134784,0
1352,0.725490196,0.001369863,0.066350711,0.030286948,0.471379747,1
3458,0.617647059,0.280821918,0.014218009,0.00759026,0.446302939,2
2196,0,0.065753425,0.014218009,0.014082905,0.487605876,0
3436,0.323529412,0.01369863,0.132701422,0.066565119,0.374039612,1
4669,0.254901961,0.260273973,0,0.001626607,0.351165129,2
3646,0.539215686,0.795890411,0.023696682,0.019321133,0.469764799,0
725,0.147058824,0.439726027,0,0.008243316,0.156881242,2
951,0.284313725,0.491780822,0.014218009,0.017815142,0.627955587,0
1837,0.029411765,0.216438356,0.090047393,0.03576641,0.456841162,1
4508,0.598039216,0.089041096,0.042654028,0.053154223,0.378373714,1
3156,0.852941176,0.156164384,0.009478673,0.008608613,0.240733876,2
679,0.901960784,0.110958904,0.042654028,0.038895561,0.16690836,0
2930,0.901960784,0,0.014218009,0.016509032,0.439630938,0
4007,0.450980392,0.067123288,0.052132701,0.021407808,0.351682665,0
4772,0.607843137,0.009589041,0.052132701,0.024266433,0.404493679,0
1203,0.12745098,0.010958904,0.132701422,0.0356613,0.496086216,1
3985,0.656862745,0.547945205,0.004739336,0.011055417,0.485370754,0
2212,0.784313725,0.176712329,0.009478673,0.010381684,0.329646074,2
4926,0.058823529,0.134246575,0,0.005207212,0.230195916,2
4494,0.18627451,0.82739726,0,0.003577158,0.497476502,2
4730,0.058823529,0.106849315,0.018957346,0.016128226,0.274466584,0
3694,0.892156863,0.421917808,0.004739336,0.009065235,0.525681797,0
4803,0.088235294,0.576712329,0.028436019,0.016836421,0.354597303,0
4356,0.509803922,0.246575342,0.014218009,0.015042673,0.500423105,0
4370,0.205882353,0.065753425,0.004739336,0.005703465,0.513974337,2
2889,0.039215686,0.139726027,0.09478673,0.049063581,0.279516697,1
1631,0.705882353,0.209589041,0.023696682,0.01337988,0.326127893,0
3004,0.401960784,0.068493151,0.014218009,0.01085726,0.422098094,0
2193,0.049019608,0.57260274,0.023696682,0.018761125,0.362821485,0
1176,0,0.487671233,0.009478673,0.00910142,0.373516373,2
4767,0.196078431,0.016438356,0.028436019,0.013092122,0.37392802,0
4634,0.12745098,0.816438356,0.009478673,0.006985452,0.36964633,2
3396,0.107843137,0.265753425,0.033175355,0.01709144,0.352219558,0
4353,0.166666667,0.219178082,0.061611374,0.023580639,0.549575152,1
3625,0.156862745,0.77260274,0,0.004835022,0.391550566,2
436,0.81372549,0.047945205,0.047393365,0.050125011,0.314919189,1
4212,0.676470588,0.101369863,0.028436019,0.015080581,0.363448553,0
668,0.598039216,0.18630137,0.042654028,0.035542406,0.422170715,1
2060,0.68627451,0.021917808,0.127962085,0.093124999,0.422701337,1
2290,0.294117647,0.265753425,0.061611374,0.04612914,0.311894814,1
3820,0.235294118,0.097260274,0.028436019,0.021866153,0.437400547,0
4464,0.333333333,0.019178082,0.289099526,0.089954493,0.467418875,1
506,0.117647059,0.387671233,0.037914692,0.025682822,0.419469032,0
707,0.303921569,0.231506849,0.018957346,0.02097014,0.35858957,0
1647,0.294117647,0.338356164,0.018957346,0.018854172,0.325615192,0
773,0.264705882,0.656164384,0,0.00242268,0.358496597,2
3890,0.147058824,0.75890411,0.028436019,0.009856138,0.221031582,2
1942,0.049019608,0.053424658,0.014218009,0.007340411,0.346764348,2
87,0,0.217808219,0,0.008024482,0.883560247,0
946,0.5,0.087671233,0.08056872,0.041662861,0.382943234,1
4806,0,0.015068493,0.009478673,0.022276251,0.498324929,0
1155,0.990196078,0.02739726,0.08056872,0.059221262,0.380519387,1
4185,0.539215686,0.087671233,0.037914692,0.033259297,0.476533223,1
2792,0.166666667,0.145205479,0.028436019,0.011698133,0.560210292,0
769,0.205882353,0.001369863,0.180094787,0.066609919,0.507381559,1
4098,0.078431373,0.835616438,0,0.005324382,0.505125946,2
4497,0.18627451,0.017808219,0.018957346,0.014737684,0.396824286,0
2715,0.676470588,0.028767123,0.137440758,0.080201741,0.412140644,1
4119,0.529411765,0.046575342,0.004739336,0.003227368,0.349531007,2
4606,0.078431373,0.491780822,0.014218009,0.024290556,0.385535343,0
3472,0.401960784,0.650684932,0,0.003797715,0.303510591,2
4205,0.058823529,0.020547945,0.109004739,0.058037491,0.382371989,1
1323,0.637254902,0.493150685,0.004739336,0.008295009,0.426746305,2
3013,0.558823529,0.026027397,0.161137441,0.081487174,0.425210736,1
2777,0.264705882,0.043835616,0.085308057,0.030555752,0.419837135,1
30,0.656862745,0.884931507,0.023696682,0.023091278,0.47108699,0
4272,0.147058824,0.223287671,0.061611374,0.019950065,0.546508907,0
3225,0.147058824,0.028767123,0.18957346,0.100468856,0.313214743,1
3884,0.323529412,0.043835616,0.099526066,0.046742564,0.314409533,1
1791,0,0.290410959,0.009478673,0.013862348,0.261600182,0
2827,0.950980392,0.149315068,0.004739336,0.006708033,0.406827331,2
4481,0.921568627,0.019178082,0.104265403,0.059012766,0.281300159,1
3434,0.81372549,0.675342466,0,0.004323261,0.4918684,2
1011,0.049019608,0.052054795,0.009478673,0.004886715,0.42081407,2
2564,0.941176471,0.063013699,0,0.009942293,0.310842058,2
4295,0.578431373,0.217808219,0.004739336,0.004145781,0.35502644,2
1143,0.058823529,0.034246575,0.099526066,0.036715838,0.491324821,1
1120,0.568627451,0.020547945,0.009478673,0.00925133,0.443152235,0
4231,0.137254902,0.078082192,0.009478673,0.018075331,0.234742804,0
4285,0.294117647,0.749315068,0,0.005967099,0.918322362,0
1434,0.098039216,0.028767123,0.127962085,0.036976026,0.593084242,1
1048,0.117647059,0.984931507,0,0.005772389,0.266853254,2
1452,0.81372549,0.135616438,0.056872038,0.028972222,0.254535005,0
4726,0.019607843,0.015068493,0.113744076,0.066659889,0.466491474,1
2432,0.343137255,0.449315068,0,0.006523661,0.376825266,2
3614,0.215686275,0.209589041,0.085308057,0.035887027,0.506445403,1
3209,0.088235294,0.434246575,0.009478673,0.005274412,0.334523404,2
3130,0.107843137,0.283561644,0,0.00870683,0.39069433,2
3147,0.578431373,0.042465753,0.17535545,0.065782831,0.45457553,1
