,L,R,F,M,C
8336,42,72,16,27360,0.871800073
8337,98,324,3,36696,0.65
8338,18,168,3,36696,0.65
8339,20,90,3,36696,0.65
8340,34,18,26,30292,0.787358048
8341,22,31,19,37733,0.632062916
8342,87,18,18,17569,1.357476806
8343,73,27,29,39156,0.609038206
8344,77,72,22,35418,0.6733019929999999
8345,35,164,10,28220,0.845
8346,50,58,20,27346,0.871996636
8347,107,55,19,32223,0.7400062070000001
8348,33,2,27,31975,0.745743237
8349,43,13,31,35307,0.6753034809999999
8350,31,3,19,34274,0.6956456790000001
8351,72,3,20,33918,0.702891385
8352,13,8,27,29913,0.7968364920000001
8353,34,176,15,33173,0.718476773
8354,14,4,17,36456,0.6537585029999999
8355,49,20,21,39423,0.604516399
8356,92,64,18,28184,0.8454953159999999
8357,25,11,16,35255,0.675901858
8358,75,33,5,42436,0.561512159
8359,49,13,28,38121,0.625054432
8360,15,56,11,19160,1.2435887270000001
8361,43,11,24,32405,0.73521185
8362,61,65,24,31507,0.756010728
8363,27,94,29,37415,0.6365970870000001
8364,58,4,23,48173,0.494408694
8365,102,2,32,28725,0.829108442
8366,65,117,20,35385,0.6729532290000001
8367,96,136,23,33944,0.701426762
8368,64,4,24,36181,0.657982366
8369,100,124,8,33484,0.7109293990000001
8370,23,11,27,35444,0.671612685
8371,48,30,22,35216,0.6759058379999999
8372,80,21,31,30450,0.7816285709999999
8373,63,72,36,31377,0.758523759
8374,83,29,22,29801,0.798474883
8375,60,17,24,24424,0.9742294459999999
8376,91,6,12,17400,1.3674862069999998
8377,61,11,21,34837,0.682992795
8378,82,11,22,40139,0.592774359
8379,85,6,25,34622,0.687155277
8380,43,2,28,34460,0.690289321
8381,27,26,34,36549,0.650805768
8382,90,21,19,33110,0.718300513
8383,109,138,19,34619,0.6869727609999999
8384,23,17,27,44923,0.529220889
8385,104,151,18,30096,0.789921917
8386,20,384,11,28397,0.837121879
8387,80,76,30,42372,0.560963844
8388,28,33,16,33341,0.7128301490000001
8389,54,73,26,37988,0.625628356
8390,32,8,13,32748,0.7256079759999999
8391,93,14,20,29149,0.815178222
8392,37,4,31,37241,0.637868478
8393,45,1,19,39146,0.606821642
8394,90,43,17,22236,1.0682352940000002
8395,28,24,34,29651,0.801012782
8396,60,102,23,35364,0.6715877729999999
8397,47,157,22,28546,0.831958593
8398,21,8,24,32053,0.7409156709999999
8399,29,175,22,29247,0.811989264
8400,27,103,30,45821,0.51825604
8401,46,3,38,37915,0.626255835
8402,100,5,30,29531,0.8040255999999999
8403,34,172,33,33694,0.7046857009999999
8404,15,64,18,34720,0.683824309
8405,48,29,26,32164,0.73783267
8406,29,7,11,31710,0.748389467
8407,25,172,25,33932,0.6993740420000001
8408,46,7,24,30018,0.79056033
8409,97,76,41,25858,0.917686983
8410,21,7,20,27650,0.858181555
8411,22,93,4,30420,0.7800105190000001
8412,91,15,40,31223,0.759901355
8413,37,17,19,31698,0.748312512
8414,14,13,16,32739,0.724484254
8415,45,158,32,35776,0.662967073
8416,83,193,24,29857,0.794385571
8417,28,61,18,31311,0.7574874640000001
8418,19,19,17,22554,1.051507493
8419,27,4,20,36686,0.646421251
8420,23,31,31,32476,0.7301157779999999
8421,88,19,33,44292,0.535320825
8422,22,35,16,33161,0.7146548659999999
8423,40,69,18,31565,0.750736575
8424,40,12,44,30584,0.77480807
8425,37,28,23,37519,0.631517631
8426,66,2,24,32581,0.727184862
8427,94,47,32,30485,0.7771792679999999
8428,30,28,17,32861,0.7208344240000001
8429,93,59,18,25498,0.928964625
8430,91,31,15,26026,0.91000269
8431,16,160,18,31745,0.746014175
8432,46,14,9,32584,0.7267972009999999
8433,99,30,36,35636,0.664462903
8434,78,6,33,28800,0.8220451390000001
8435,60,87,16,16765,1.412161646
8436,16,1,33,38977,0.6073207279999999
8437,102,13,28,29826,0.7935931740000001
8438,43,114,22,34112,0.6938051129999999
8439,18,12,21,35997,0.6574731229999999
8440,51,62,12,23843,0.992527367
8441,30,46,4,30336,0.78
8442,103,38,36,34873,0.67849167
8443,109,3,23,28529,0.829249185
8444,27,124,12,37731,0.627002465
8445,36,15,20,29777,0.794372502
8446,29,4,20,28966,0.816570462
8447,23,3,15,34191,0.6917171190000001
8448,18,13,25,24137,0.979803621
8449,39,351,18,27042,0.874441609
8450,21,21,33,25816,0.91575767
8451,18,73,26,33491,0.705786032
8452,79,10,21,30301,0.780079535
8453,23,7,24,18086,1.3067914409999999
8454,83,60,28,35936,0.6575882120000001
8455,71,111,17,27998,0.843968141
8456,81,95,30,32274,0.7321137759999999
8457,56,287,22,32874,0.7187470340000001
8458,30,10,35,32922,0.717673592
8459,31,122,28,30195,0.782287796
8460,22,46,21,30540,0.773406025
8461,50,86,17,30202,0.781927025
8462,55,35,26,33855,0.6975468909999999
8463,66,4,38,55088,0.428641083
8464,75,39,13,18231,1.295207065
8465,37,12,26,30931,0.7633985320000001
8466,82,18,25,35444,0.666196818
8467,27,192,9,33523,0.704346866
8468,58,27,24,36556,0.645839807
8469,20,55,31,38996,0.605412094
8470,83,5,36,49228,0.479576664
8471,85,109,22,26116,0.903892633
8472,24,434,24,26773,0.881546708
8473,41,308,5,30562,0.77218114
8474,36,9,21,30233,0.780476631
8475,72,128,12,36989,0.637864771
8476,18,2,20,38631,0.610730243
8477,37,51,28,36948,0.638529826
8478,27,210,12,43935,0.536977581
8479,12,53,17,32981,0.715248173
8480,65,6,31,31248,0.754812148
8481,27,18,27,29149,0.8090946520000001
8482,89,5,36,34904,0.6754738709999999
8483,25,211,24,35361,0.666740477
8484,24,34,38,35785,0.6587846860000001
8485,19,47,14,30832,0.764590036
8486,72,12,29,25758,0.915119186
8487,54,56,21,34924,0.6748605540000001
8488,84,33,24,35662,0.660873198
8489,75,3,28,27870,0.8456404740000001
8490,21,36,36,30776,0.765768131
8491,72,11,26,33184,0.710176892
8492,25,2,30,27159,0.8676748040000001
8493,61,31,21,33290,0.707829378
8494,51,19,25,35852,0.657224702
8495,48,5,25,37404,0.6299537479999999
8496,49,25,16,43437,0.542441007
8497,66,61,22,29700,0.7932932659999999
8498,75,311,8,35610,0.661613311
8499,97,27,20,40632,0.579823292
8500,35,98,20,41324,0.570089052
8501,18,128,24,40072,0.587897285
8502,71,137,29,36309,0.6488159960000001
8503,33,17,19,31916,0.738078393
8504,40,13,18,28187,0.8357051120000001
8505,28,73,19,31226,0.754332607
8506,86,66,35,36059,0.6531953189999999
8507,97,17,18,30171,0.780563124
8508,41,277,22,39856,0.5908759029999999
8509,30,367,28,28687,0.82091714
8510,66,58,23,30090,0.7824346959999999
8511,32,136,22,31954,0.736584465
8512,95,140,29,24154,0.974156661
8513,42,8,18,33025,0.712327933
8514,12,7,32,37654,0.62474664
8515,56,326,25,27349,0.860133826
8516,33,109,14,33547,0.701205175
8517,24,76,19,24824,0.947598695
8518,35,67,23,29628,0.793894627
8519,40,76,21,32285,0.728531516
8520,33,101,4,40376,0.5825
8521,57,30,21,36539,0.643644325
8522,48,134,19,22100,1.064033032
8523,56,22,34,34454,0.682505369
8524,87,75,24,32382,0.7261682420000001
8525,82,73,21,27772,0.846689111
8526,14,44,15,33824,0.695075982
8527,100,5,45,29908,0.786001739
8528,53,289,14,17180,1.36824447
8529,49,26,24,32878,0.7149102740000001
8530,67,11,24,40208,0.584512784
8531,51,43,4,30420,0.772506903
8532,96,144,18,26439,0.888723855
8533,41,115,15,33964,0.6918051470000001
8534,68,20,23,41037,0.572534542
8535,28,50,23,31190,0.753259378
8536,23,8,26,24846,0.945460436
8537,70,19,13,36309,0.6469230770000001
8538,13,7,19,25651,0.9157030909999999
8539,19,51,11,33763,0.6956861059999999
8540,20,68,16,17050,1.377615249
8541,30,18,24,36827,0.637791566
8542,68,85,22,35470,0.66214181
8543,89,26,28,34099,0.688743951
8544,35,19,41,30599,0.7672789959999999
8545,92,4,21,35027,0.670235818
8546,32,11,20,21580,1.0878619090000001
8547,55,2,47,31776,0.7387858759999999
8548,69,81,21,26258,0.894036865
8549,113,61,21,32031,0.732893135
8550,57,119,17,27324,0.859051383
8551,57,4,29,45373,0.517233817
8552,18,149,21,31379,0.747851429
8553,77,49,25,31898,0.7356401659999999
8554,89,131,36,28313,0.828772295
8555,18,61,30,38685,0.606526044
8556,27,12,22,35612,0.658732169
8557,20,9,21,25473,0.92085149
8558,63,48,19,32076,0.731277902
8559,50,43,15,29165,0.804166295
8560,77,100,26,30447,0.770299865
8561,57,5,18,41517,0.564860178
8562,23,162,23,28029,0.836588533
8563,30,13,20,26352,0.8898026720000001
8564,45,81,24,25074,0.9351403840000001
8565,103,45,22,30138,0.77799124
8566,45,3,14,34569,0.6782255779999999
8567,14,31,19,27408,0.855399518
8568,58,10,19,37415,0.6264589070000001
8569,72,62,14,25663,0.913295796
8570,19,108,12,30614,0.7655918859999999
8571,27,23,9,28685,0.817028063
8572,33,2,38,31229,0.7504598290000001
8573,51,70,10,17693,1.3243960890000002
8574,59,12,23,36540,0.641157635
8575,89,10,37,31411,0.7458062459999999
8576,62,93,18,39480,0.593349544
8577,24,205,22,32365,0.723746022
8578,97,70,17,39764,0.589048385
8579,40,75,28,32984,0.710049115
8580,71,1,66,45640,0.513136722
8581,83,60,26,31569,0.741851183
8582,20,7,30,26758,0.8750840870000001
8583,87,59,18,30008,0.780118635
8584,23,29,17,17427,1.343130774
8585,25,70,23,25014,0.935704805
8586,94,10,40,27247,0.8589063020000001
8587,79,56,17,31977,0.731764706
8588,24,12,22,38654,0.605337869
8589,20,112,14,16624,1.407146295
8590,74,93,29,37682,0.620676185
8591,30,63,24,33651,0.6949505220000001
8592,62,73,17,29915,0.7817332440000001
8593,55,27,12,29228,0.800056795
8594,21,65,22,36789,0.635617984
8595,41,309,14,31724,0.7370839109999999
8596,47,1,4,30367,0.769979583
8597,88,5,24,33093,0.7063762729999999
8598,41,11,32,29852,0.7830105190000001
8599,100,19,18,36534,0.639682214
8600,97,198,16,38848,0.601552976
8601,34,277,24,30909,0.7560555179999999
8602,71,175,12,16312,1.432531265
8603,44,86,23,28088,0.8319186129999999
8604,61,32,30,32146,0.726844397
8605,72,62,14,30188,0.773961839
8606,90,1,14,35072,0.665937215
8607,40,16,24,35859,0.651291168
8608,86,76,18,27466,0.85029491
8609,17,43,14,30263,0.771566269
8610,23,29,27,28908,0.807723813
8611,73,13,27,31222,0.747830056
8612,48,100,25,36599,0.6379239870000001
8613,66,40,29,39143,0.5963191379999999
8614,31,63,24,28679,0.81388054
8615,26,4,31,29837,0.782289439
8616,28,84,19,19691,1.185256208
8617,42,58,21,36806,0.633953432
8618,111,12,17,32579,0.716169618
8619,21,85,21,31925,0.730823179
8620,61,132,10,35350,0.66
8621,108,8,12,30290,0.770247606
8622,85,79,19,40185,0.580531044
8623,14,37,16,30418,0.7667887440000001
8624,35,115,14,38308,0.608845933
8625,61,10,31,29265,0.796966684
8626,49,58,19,32751,0.712079936
8627,70,2,19,33586,0.694314595
8628,35,196,22,36554,0.63791596
8629,113,40,25,35455,0.6575484420000001
8630,83,4,29,32992,0.706519762
8631,50,75,17,29817,0.781695677
8632,15,4,16,26253,0.887761018
8633,18,5,26,35108,0.663644184
8634,31,30,20,30928,0.7532468959999999
8635,36,40,21,32743,0.711489479
8636,58,34,11,24833,0.9379140659999999
8637,72,127,24,24480,0.951436275
8638,109,115,20,24000,0.9704016670000001
8639,34,20,32,26051,0.8938505240000001
8640,56,15,29,39073,0.595891536
8641,52,14,21,29630,0.785763415
8642,85,5,25,35386,0.657923755
8643,30,70,25,33697,0.690884945
8644,39,2,25,39574,0.588264012
8645,64,8,20,27685,0.840638613
8646,41,67,25,35008,0.664759769
8647,92,190,24,31539,0.7378474270000001
8648,23,12,22,27599,0.843142143
8649,78,178,4,22846,1.018510899
8650,73,1,24,34388,0.6766159709999999
8651,104,80,24,28272,0.822965478
8652,94,23,32,36181,0.642904287
8653,58,61,25,29930,0.777173405
8654,29,179,19,29337,0.7928261240000001
8655,48,11,22,33100,0.702641994
8656,89,35,30,30092,0.7725880629999999
8657,79,73,17,36262,0.641000221
8658,96,199,11,28825,0.806370512
8659,54,73,21,27385,0.8487325179999999
8660,25,360,3,36696,0.6333333329999999
8661,62,7,35,27802,0.8358783540000001
8662,16,103,29,28101,0.826949575
8663,19,4,24,32150,0.722797512
8664,113,2,16,25904,0.897050263
8665,21,59,14,19654,1.182303857
8666,17,5,24,34156,0.680281063
8667,47,109,23,31214,0.74434933
8668,70,90,30,32919,0.705735593
8669,71,110,11,29073,0.799090909
8670,20,3,20,29400,0.7902
8671,47,107,35,31361,0.74077134
8672,81,4,34,26023,0.892669562
8673,67,8,32,31891,0.7283967259999999
8674,55,15,31,35504,0.654236424
8675,30,7,25,31597,0.735070418
8676,31,16,27,36575,0.635020916
8677,94,7,22,36806,0.63087051
8678,20,44,13,31753,0.731216578
8679,79,16,17,21980,1.056071884
8680,36,72,23,27265,0.851342747
8681,81,37,18,44426,0.5224767029999999
8682,54,139,12,15632,1.484794652
8683,58,103,19,34511,0.67253919
8684,41,74,27,31527,0.7361781959999999
8685,14,31,30,34209,0.678448362
8686,48,24,29,31571,0.735129391
8687,43,434,16,37333,0.621564032
8688,70,139,20,36564,0.634634887
8689,36,8,22,30625,0.757682286
8690,25,69,14,42447,0.546649233
8691,80,174,19,33257,0.6975629190000001
8692,50,2,28,29944,0.774727825
8693,46,8,23,38391,0.604256206
8694,23,9,21,24591,0.943333333
8695,40,110,17,31086,0.746090523
8696,20,77,24,33302,0.6964341479999999
8697,48,33,20,31843,0.728223785
8698,45,12,21,29086,0.7972399090000001
8699,84,186,17,34685,0.668522704
8700,94,103,23,39350,0.589266328
8701,82,87,15,28909,0.802079283
8702,14,22,18,37386,0.62
8703,40,38,28,31167,0.743696217
8704,19,4,15,17740,1.305845547
8705,46,293,19,31189,0.742661195
8706,94,5,10,15592,1.4855291169999998
8707,15,24,20,40397,0.573299255
8708,58,13,25,39250,0.590050446
8709,82,4,14,29078,0.796428571
8710,23,11,22,31062,0.745196703
8711,39,17,17,38270,0.604832245
8712,43,38,16,29591,0.782214863
8713,70,133,29,40399,0.5729003189999999
8714,26,2,19,37942,0.609935428
8715,40,15,20,34463,0.671465049
8716,15,89,16,41111,0.562835008
8717,36,59,27,35562,0.650613576
8718,98,8,30,29663,0.7799615679999999
8719,45,8,36,28781,0.8038501090000001
8720,108,11,28,37287,0.620466651
8721,94,6,25,23797,0.9721347229999999
8722,87,3,36,31103,0.743672958
8723,25,105,17,35692,0.648055026
8724,40,20,24,34914,0.662436272
8725,81,18,28,36402,0.635332125
8726,46,65,18,31833,0.726503
8727,15,85,12,38128,0.6065500420000001
8728,64,27,22,36550,0.632715732
8729,83,75,27,26486,0.873074832
8730,16,1,33,27417,0.843346099
8731,14,87,13,35868,0.644594067
8732,59,22,20,36507,0.633292793
8733,52,94,21,26618,0.86847096
8734,19,81,11,31207,0.7407604059999999
8735,45,62,25,26571,0.869704941
8736,41,10,11,33290,0.694158907
8737,20,125,14,40343,0.5727630570000001
8738,53,46,20,36410,0.634627026
8739,81,65,18,30889,0.748036842
8740,101,28,15,26398,0.8752098640000001
8741,36,137,4,30398,0.76
8742,56,6,23,25768,0.896492937
8743,101,1,28,30896,0.747676722
8744,21,235,16,31055,0.743774915
8745,82,15,20,33004,0.699763362
8746,82,3,27,35070,0.658500998
8747,25,125,11,33232,0.694824868
8748,82,199,11,27628,0.83568626
8749,13,69,18,27540,0.838333333
8750,83,49,17,27715,0.832904203
8751,19,29,21,28751,0.8028677259999999
8752,61,23,26,30898,0.7470723020000001
8753,34,391,7,32656,0.706845603
8754,73,57,14,25050,0.921412375
8755,51,18,11,27292,0.8454213690000001
8756,67,77,19,28889,0.7986596970000001
8757,34,165,22,34105,0.67644275
8758,74,65,32,27389,0.842284129
8759,65,65,11,29797,0.7741873340000001
8760,45,2,22,40620,0.567845889
8761,98,8,22,40435,0.5704120189999999
8762,34,10,37,31939,0.7221343809999999
8763,42,28,25,33597,0.686427062
8764,73,71,16,16935,1.361757898
8765,48,65,36,35605,0.647678135
8766,33,24,35,27361,0.842767443
8767,37,141,34,24847,0.927991307
8768,26,120,15,25407,0.907358208
8769,52,40,15,38154,0.6041631279999999
8770,81,3,23,30570,0.753984298
8771,29,186,18,31546,0.7306495279999999
8772,56,45,33,30500,0.7556960659999999
8773,78,5,29,30900,0.7459097090000001
8774,39,3,29,29542,0.78018076
8775,81,71,24,32708,0.7046429009999999
8776,88,27,29,38330,0.60127472
8777,90,23,17,30682,0.75111303
8778,20,29,30,36402,0.632960277
8779,41,29,11,38114,0.6044532189999999
8780,26,47,12,29169,0.789715451
8781,16,6,30,28084,0.8201645059999999
8782,24,9,18,32917,0.6997141290000001
8783,86,229,21,26687,0.8630216959999999
8784,49,117,32,36052,0.638760956
8785,20,30,25,25589,0.899874946
8786,13,73,18,35095,0.656116826
8787,74,2,24,38585,0.5965761310000001
8788,77,225,22,33527,0.686509679
8789,40,25,15,18127,1.269697689
8790,83,10,21,36499,0.6305082329999999
8791,72,11,20,26025,0.884207877
8792,75,77,19,28763,0.7999874840000001
8793,17,150,3,30408,0.7566666670000001
8794,96,8,29,28736,0.800534869
8795,99,394,6,31112,0.7393770890000001
8796,23,16,39,26023,0.883931138
8797,107,102,32,27281,0.843159708
8798,75,134,23,29032,0.792281276
8799,46,434,25,27521,0.8357218120000001
8800,26,45,20,37906,0.6067013139999999
8801,23,184,19,32486,0.707871083
8802,29,58,8,34237,0.671663405
8803,33,151,16,24372,0.9434871979999999
8804,112,75,17,33439,0.687647059
8805,14,37,14,33747,0.6813334520000001
8806,95,9,31,31835,0.7222041779999999
8807,66,24,23,31174,0.737483801
8808,55,38,22,33276,0.6908582759999999
8809,63,10,19,31964,0.7191890879999999
8810,87,9,20,29928,0.768059342
8811,62,101,15,19590,1.1733011740000001
8812,73,2,24,32331,0.710830782
8813,62,3,10,30866,0.744427525
8814,95,102,14,36151,0.635594036
8815,63,14,34,32218,0.71315631
8816,26,28,11,33372,0.68845679
8817,32,58,23,38135,0.6024604689999999
8818,56,15,24,33081,0.694485052
8819,69,2,50,28808,0.797400722
8820,34,178,17,27398,0.83814512
8821,65,105,17,25352,0.905706059
8822,88,32,20,31705,0.724157388
8823,56,1,33,35640,0.644182379
8824,16,3,24,31248,0.73468798
8825,49,20,18,26761,0.8578341620000001
8826,87,1,66,26898,0.853386869
8827,45,39,23,31249,0.7344910240000001
8828,16,3,22,30290,0.757667877
8829,70,39,24,31978,0.717660579
8830,66,21,16,32649,0.702877577
8831,90,17,28,29854,0.768641053
8832,41,101,28,35043,0.654742745
8833,85,122,23,35426,0.647658217
8834,52,27,19,28862,0.7949338229999999
8835,24,183,15,29234,0.7848074159999999
8836,62,41,26,34256,0.669720925
8837,21,10,42,40875,0.56123792
8838,90,77,21,36797,0.623435878
8839,110,12,17,16675,1.3757349330000002
8840,56,96,31,30775,0.745372543
8841,42,5,26,29726,0.7715575590000001
8842,17,12,26,33170,0.691440458
8843,68,65,36,40678,0.563805005
8844,53,375,7,22610,1.0142857140000001
8845,50,204,13,25960,0.8832704159999999
8846,23,39,10,30334,0.755868333
8847,69,117,19,27755,0.82606089
8848,77,27,20,39397,0.58189253
8849,25,13,25,33362,0.68712847
8850,47,279,31,27825,0.823756334
8851,95,35,21,25767,0.889502076
8852,61,1,16,37421,0.61247134
8853,20,37,23,35104,0.652877735
8854,26,252,17,29251,0.7834162929999999
8855,94,79,19,31884,0.71871942
8856,33,2,37,42983,0.533012354
8857,28,6,29,34898,0.656441916
8858,19,1,27,28920,0.7919488240000001
8859,71,118,26,29587,0.7740304859999999
8860,81,225,23,32823,0.6977153220000001
8861,28,7,28,24609,0.9305518309999999
8862,22,40,21,27083,0.845238341
8863,39,44,35,41017,0.5580734820000001
8864,82,21,25,34315,0.667055515
8865,80,23,31,34968,0.654422043
8866,20,77,5,35350,0.647348515
8867,60,42,31,34673,0.659928186
8868,102,13,10,15780,1.450009506
8869,96,11,14,32697,0.6996904909999999
8870,68,102,12,29640,0.7716666670000001
8871,101,193,8,28613,0.79929927
8872,87,74,5,37991,0.601983364
8873,55,145,22,34798,0.657191218
8874,69,77,16,32688,0.699553353
8875,97,11,33,28454,0.80360336
8876,72,8,22,33292,0.6867511709999999
8877,95,103,21,41557,0.5501446210000001
8878,95,110,15,38086,0.600263614
8879,14,7,22,28238,0.8094723420000001
8880,22,49,24,28592,0.7994341070000001
8881,69,44,6,35389,0.645842211
8882,46,29,20,30187,0.7570351479999999
8883,35,131,21,28209,0.8100960690000001
8884,27,49,31,36049,0.633907737
8885,65,27,18,32609,0.7006906070000001
8886,37,18,20,34428,0.663567445
8887,34,63,17,32638,0.6999574120000001
8888,64,422,6,34322,0.665542509
8889,92,21,22,25204,0.9062624979999999
8890,74,11,9,21454,1.064647618
8891,20,23,24,31684,0.7208875140000001
8892,33,21,11,23080,0.9896152509999999
8893,77,36,22,26152,0.873344295
8894,15,74,18,27416,0.833057704
8895,69,60,26,34260,0.666537653
8896,96,36,24,29468,0.774826592
8897,101,115,21,33066,0.6905132159999999
8898,85,64,34,26424,0.8640459429999999
8899,22,67,30,29438,0.775537061
8900,46,94,22,26520,0.860838235
8901,48,19,34,33478,0.681911405
8902,29,32,11,21333,1.0700740640000002
8903,52,61,20,32370,0.7052072909999999
8904,98,83,13,24617,0.92726896
8905,94,171,22,32118,0.71056884
8906,78,10,16,27864,0.8188971429999999
8907,30,91,10,26920,0.84760104
8908,12,25,26,29380,0.776538462
8909,27,13,36,36363,0.627204301
8910,20,102,23,35004,0.651529825
8911,23,20,20,34795,0.655439
8912,39,66,29,29009,0.786050536
8913,21,8,20,34711,0.656714874
8914,29,11,26,41292,0.552043979
8915,24,37,14,32190,0.7081189809999999
8916,68,18,20,33688,0.6766252079999999
8917,26,7,30,28502,0.799735457
8918,56,9,12,33516,0.68
8919,82,3,22,34944,0.652194368
8920,19,43,16,30109,0.75688266
8921,102,68,12,15949,1.4287666940000001
8922,80,122,18,28828,0.790453726
8923,31,75,28,35422,0.6432725420000001
8924,19,12,18,32275,0.705856235
8925,43,6,28,37916,0.6008289379999999
8926,71,75,19,24238,0.93988778
8927,85,18,14,28279,0.8055154
8928,49,136,13,21697,1.049875559
8929,105,3,27,26544,0.8581656870000001
8930,26,245,4,30367,0.75
8931,57,424,20,34569,0.658783882
8932,74,211,15,29479,0.772468198
8933,53,68,35,30224,0.7533480020000001
8934,23,410,15,22935,0.99264443
8935,20,95,35,24751,0.919712335
8936,24,13,23,34933,0.651583889
8937,70,12,15,30579,0.74433402
8938,25,4,14,28140,0.8088436390000001
8939,62,71,25,34258,0.664368031
8940,35,100,22,40820,0.55755267
8941,48,165,28,32155,0.707766133
8942,50,27,25,32312,0.7043244000000001
8943,49,11,20,31547,0.721321203
8944,87,6,32,23864,0.953540898
8945,113,21,19,34737,0.65503872
8946,20,5,26,35688,0.637525779
8947,79,155,6,16114,1.4119175869999998
8948,15,77,25,32464,0.700760535
8949,25,18,21,31755,0.716399937
8950,64,119,30,41890,0.5430124129999999
8951,111,7,26,39002,0.583153684
8952,21,295,12,31737,0.716535589
8953,90,15,22,38053,0.597260137
8954,24,371,24,37704,0.602749045
8955,23,81,17,29826,0.7618805740000001
8956,66,1,25,40129,0.566146179
8957,22,17,28,27247,0.833800051
8958,23,27,32,38096,0.596300136
8959,62,2,15,20074,1.131556242
8960,36,15,27,31721,0.7160508809999999
8961,85,35,15,37068,0.612760602
8962,56,154,4,25560,0.888629108
8963,41,31,29,40298,0.5635756120000001
8964,32,10,17,31633,0.717887333
8965,68,4,18,32594,0.696685893
8966,109,9,14,34563,0.656975089
8967,23,5,29,28805,0.7882346809999999
8968,43,67,15,32603,0.696331012
8969,42,43,52,31731,0.715457439
8970,109,45,26,36103,0.628785419
8971,104,13,28,37226,0.609799065
8972,91,10,26,37361,0.60757287
8973,19,4,20,31968,0.709995308
8974,28,19,34,34586,0.656226219
8975,69,5,25,41765,0.543361188
8976,48,6,20,33480,0.677678315
8977,56,72,18,28283,0.8021436909999999
8978,24,186,23,38658,0.586852398
8979,46,99,28,33579,0.675591292
8980,73,7,13,34590,0.6558386820000001
8981,78,4,40,27341,0.829696427
8982,22,8,28,35066,0.6468958539999999
8983,20,114,11,31009,0.7315166559999999
8984,70,146,25,34369,0.659944718
8985,20,136,10,18366,1.234939562
8986,16,49,21,29883,0.7589555929999999
8987,97,10,19,30397,0.746093364
8988,80,9,27,29680,0.7640785040000001
8989,64,10,28,36141,0.627451371
8990,20,25,22,28767,0.7882316540000001
8991,109,25,35,32012,0.708327502
8992,77,17,22,36183,0.62663516
8993,41,13,20,28920,0.784
8994,29,105,30,29516,0.768147445
8995,21,16,32,31050,0.730067633
8996,18,87,32,29728,0.7625
8997,68,8,20,32306,0.701623228
8998,57,20,18,26686,0.84934535
8999,98,52,15,15985,1.417831092
9000,80,199,8,29192,0.77625
9001,43,102,20,29316,0.772893301
9002,79,32,27,33762,0.6709371479999999
9003,32,48,19,31697,0.7146405020000001
9004,15,6,17,34032,0.665551246
9005,37,108,11,51504,0.43974914600000004
9006,28,17,19,34963,0.647755627
9007,83,255,12,17407,1.300923192
9008,76,49,20,27222,0.831863199
9009,24,7,18,30730,0.7368161409999999
9010,90,42,25,26009,0.870387558
9011,94,4,18,30590,0.739998039
9012,99,14,25,32176,0.7033419320000001
9013,26,492,3,36696,0.6166666670000001
9014,52,6,24,36200,0.62508011
9015,60,14,26,32295,0.700614337
9016,48,452,16,31098,0.727548395
9017,28,32,15,40338,0.560874114
9018,20,31,11,29073,0.778181818
9019,31,80,6,33504,0.675255492
9020,29,5,17,29748,0.760507261
9021,43,14,28,46278,0.488758157
9022,44,16,20,29149,0.7758496
9023,79,47,21,33988,0.665343356
9024,69,48,24,23369,0.967589542
9025,88,129,15,37309,0.605935297
9026,81,24,29,29347,0.770270215
9027,35,70,17,29833,0.757698522
9028,65,11,21,24598,0.9187324170000001
9029,57,26,23,35357,0.6390225420000001
9030,51,18,20,16098,1.403476208
9031,31,113,21,30300,0.7456435640000001
9032,60,5,13,21418,1.054845924
9033,16,19,15,30521,0.740227057
9034,41,55,22,37159,0.607983799
9035,53,27,14,24257,0.931238818
9036,53,122,6,38052,0.59358562
9037,72,72,20,33272,0.678850084
9038,69,13,23,31227,0.723195312
9039,21,8,27,33146,0.681210402
9040,31,97,31,32632,0.691765445
9041,16,25,34,44622,0.505848685
9042,53,89,26,30939,0.72954685
9043,91,119,17,29551,0.76374742
9044,71,14,21,28817,0.783189437
9045,28,362,24,28072,0.8039238390000001
9046,30,9,27,36625,0.616121775
9047,28,130,9,33309,0.67745174
9048,79,60,19,31436,0.717689592
9049,73,9,11,32950,0.6846166920000001
9050,37,16,20,39469,0.5714588660000001
9051,29,1,28,32576,0.692344057
9052,73,164,14,29664,0.760242381
9053,55,33,24,26781,0.842012247
9054,41,23,46,31839,0.708235811
9055,20,48,25,35261,0.639311704
9056,25,23,15,29615,0.7611841970000001
9057,21,85,14,42692,0.528018364
9058,84,35,20,28471,0.791666257
9059,42,379,9,17783,1.267393016
9060,82,63,23,33959,0.663626432
9061,87,152,31,30820,0.731061648
9062,97,11,15,38566,0.584218742
9063,16,104,14,29002,0.77684539
9064,108,214,38,30657,0.734821085
9065,52,13,22,29328,0.76806533
9066,73,22,29,37851,0.595099997
9067,70,12,27,27363,0.8231725320000001
9068,58,18,26,25444,0.885239742
9069,61,4,27,25423,0.8859627109999999
9070,29,98,29,37256,0.604486526
9071,97,3,13,38208,0.589424728
9072,78,29,19,33181,0.678654049
9073,64,1,41,26039,0.864586582
9074,71,34,20,31661,0.711044503
9075,81,81,21,29400,0.7657142859999999
9076,20,28,38,28728,0.783417224
9077,47,373,12,29522,0.762278978
9078,18,32,22,34556,0.651216287
